MortarSystem,Shell,Diameter,Charge,AverageDeviation,Range,Elevation,TimeOfFlight,DElevPer100MDr,ToFPer100MDr
M252,M819 Smoke,81,1,11,200,1463,17.7,36,0.1
M252,M819 Smoke,81,1,11,250,1427,17.6,36,0.1
M252,M819 Smoke,81,1,11,300,1391,17.5,37,0.1
M252,M819 Smoke,81,1,11,350,1352,17.3,39,0.2
M252,M819 Smoke,81,1,11,400,1314,17.2,43,0.3
M252,M819 Smoke,81,1,11,450,1271,16.9,46,0.3
M252,M819 Smoke,81,1,11,500,1227,16.7,49,0.3
M252,M819 Smoke,81,1,11,550,1178,16.4,54,0.4
M252,M819 Smoke,81,1,11,600,1124,16,60,0.4
M252,M819 Smoke,81,1,11,650,1060,15.4,78,0.7
M252,M819 Smoke,81,1,11,700,982,14.7,160,1.7
M252,M819 Smoke,81,1,11,750,822,13,0,0
M252,M819 Smoke,81,2,20,200,1528,24.8,19,0.1
M252,M819 Smoke,81,2,20,300,1491,24.7,19,0.1
M252,M819 Smoke,81,2,20,400,1453,24.6,19,0.1
M252,M819 Smoke,81,2,20,500,1414,24.4,20,0.1
M252,M819 Smoke,81,2,20,600,1374,24.2,20,0.1
M252,M819 Smoke,81,2,20,700,1333,24,22,0.1
M252,M819 Smoke,81,2,20,800,1289,23.7,23,0.2
M252,M819 Smoke,81,2,20,900,1242,23.3,25,0.2
M252,M819 Smoke,81,2,20,1000,1191,22.9,28,0.3
M252,M819 Smoke,81,2,20,1100,1133,22.3,31,0.3
M252,M819 Smoke,81,2,20,1200,1067,21.6,39,0.5
M252,M819 Smoke,81,2,20,1300,980,20,0,0
M252,M819 Smoke,81,2,20,1400,818,18,0,0
M252,M819 Smoke,81,3,28,300,1522,29.6,14,0.1
M252,M819 Smoke,81,3,28,400,1495,29.6,14,0.1
M252,M819 Smoke,81,3,28,500,1468,29.5,14,0.1
M252,M819 Smoke,81,3,28,600,1440,29.3,14,0.1
M252,M819 Smoke,81,3,28,700,1412,29.2,14,0.1
M252,M819 Smoke,81,3,28,800,1383,29,14,0.1
M252,M819 Smoke,81,3,28,900,1354,28.9,16,0.1
M252,M819 Smoke,81,3,28,1000,1323,28.6,16,0.1
M252,M819 Smoke,81,3,28,1100,1291,28.4,17,0.2
M252,M819 Smoke,81,3,28,1200,1257,28.1,18,0.2
M252,M819 Smoke,81,3,28,1300,1221,27.7,18,0.2
M252,M819 Smoke,81,3,28,1400,1183,27.3,18,0.2
M252,M819 Smoke,81,3,28,1500,1142,26.8,23,0.3
M252,M819 Smoke,81,3,28,1600,1096,26.2,25,0.3
M252,M819 Smoke,81,3,28,1700,1044,25.5,30,0.5
M252,M819 Smoke,81,3,28,1800,980,24.5,38,0.6
M252,M819 Smoke,81,3,28,1900,892,23,84,1.5
M252,M819 Smoke,81,4,35,400,1517,33.6,11,0
M252,M819 Smoke,81,4,35,500,1495,33.5,10,0
M252,M819 Smoke,81,4,35,600,1474,33.5,11,0.1
M252,M819 Smoke,81,4,35,700,1452,33.4,11,0.1
M252,M819 Smoke,81,4,35,800,1429,33.2,11,0
M252,M819 Smoke,81,4,35,900,1407,33.1,11,0
M252,M819 Smoke,81,4,35,1000,1383,33,11,0.1
M252,M819 Smoke,81,4,35,1100,1356,32.8,12,0.1
M252,M819 Smoke,81,4,35,1200,1335,32.4,13,0.1
M252,M819 Smoke,81,4,35,1300,1310,32.4,13,0.1
M252,M819 Smoke,81,4,35,1400,1284,32.1,14,0.1
M252,M819 Smoke,81,4,35,1500,1257,31.9,14,0.2
M252,M819 Smoke,81,4,35,1600,1228,31.5,15,0.2
M252,M819 Smoke,81,4,35,1700,1199,31.2,17,0.2
M252,M819 Smoke,81,4,35,1800,1166,30.8,16,0.2
M252,M819 Smoke,81,4,35,1900,1132,30.3,18,0.2
M252,M819 Smoke,81,4,35,2000,1096,29.8,21,0.3
M252,M819 Smoke,81,4,35,2100,1055,29.1,23,0.3
M252,M819 Smoke,81,4,35,2200,1008,28.4,28,0.5
M252,M819 Smoke,81,4,35,2300,952,27.4,36,0.7
M252,M819 Smoke,81,4,35,2400,871,25.8,67,1.5
