MortarSystem,Shell,Diameter,Charge,AverageDeviation,Range,Elevation,TimeOfFlight,DElevPer100MDr,ToFPer100MDr
M252,M879 Practice,81,0,6,50,1540,13.2,61,0
M252,M879 Practice,81,0,6,100,1479,13.2,62,0.2
M252,M879 Practice,81,0,6,150,1417,13,67,0.2
M252,M879 Practice,81,0,6,200,1350,12.8,71,0.2
M252,M879 Practice,81,0,6,250,1279,12.6,77,0.3
M252,M879 Practice,81,0,6,300,1202,12.3,95,0.6
M252,M879 Practice,81,0,6,350,1107,11.7,149,1
M252,M879 Practice,81,0,6,400,958,10.7,0,0
M252,M879 Practice,81,1,15,200,1498,20.4,26,0
M252,M879 Practice,81,1,15,300,1445,20.3,27,0.1
M252,M879 Practice,81,1,15,400,1391,20.1,29,0.1
M252,M879 Practice,81,1,15,500,1333,19.8,30,0.1
M252,M879 Practice,81,1,15,600,1271,19.4,34,0.2
M252,M879 Practice,81,1,15,700,1204,19,40,0.3
M252,M879 Practice,81,1,15,800,1124,18.3,47,0.4
M252,M879 Practice,81,1,15,900,1023,17.3,72,0.8
M252,M879 Practice,81,1,15,1000,812,14.7,0,0
M252,M879 Practice,81,2,24,300,1507,26.5,15,0
M252,M879 Practice,81,2,24,400,1476,26.4,16,0
M252,M879 Practice,81,2,24,500,1444,26.3,17,0
M252,M879 Practice,81,2,24,600,1411,26.2,17,0.1
M252,M879 Practice,81,2,24,700,1377,26,17,0.1
M252,M879 Practice,81,2,24,800,1342,25.8,18,0.1
M252,M879 Practice,81,2,24,900,1305,25.5,19,0.1
M252,M879 Practice,81,2,24,1000,1267,25.2,20,0.1
M252,M879 Practice,81,2,24,1100,1226,24.9,21,0.2
M252,M879 Practice,81,2,24,1200,1182,24.4,24,0.2
M252,M879 Practice,81,2,24,1300,1133,23.9,26,0.3
M252,M879 Practice,81,2,24,1400,1078,23.2,31,0.3
M252,M879 Practice,81,2,24,1500,1011,22.4,42,0.6
M252,M879 Practice,81,2,24,1600,916,20.9,105,1.7
M252,M879 Practice,81,3,33,400,1511,31.6,11,0
M252,M879 Practice,81,3,33,500,1489,31.5,12,0
M252,M879 Practice,81,3,33,600,1466,31.5,12,0
M252,M879 Practice,81,3,33,700,1442,31.4,12,0.1
M252,M879 Practice,81,3,33,800,1419,31.2,11,0.1
M252,M879 Practice,81,3,33,900,1395,31.1,13,0.1
M252,M879 Practice,81,3,33,1000,1370,30.9,13,0.1
M252,M879 Practice,81,3,33,1100,1345,30.7,14,0.1
M252,M879 Practice,81,3,33,1200,1318,30.5,13,0.1
M252,M879 Practice,81,3,33,1300,1291,30.3,14,0.1
M252,M879 Practice,81,3,33,1400,1263,30,14,0.1
M252,M879 Practice,81,3,33,1500,1233,29.7,15,0.2
M252,M879 Practice,81,3,33,1600,1203,29.4,17,0.2
M252,M879 Practice,81,3,33,1700,1169,29,17,0.2
M252,M879 Practice,81,3,33,1800,1134,28.5,19,0.3
M252,M879 Practice,81,3,33,1900,1095,28,22,0.4
M252,M879 Practice,81,3,33,2000,1051,27.3,25,0.4
M252,M879 Practice,81,3,33,2100,1000,26.5,31,0.6
M252,M879 Practice,81,3,33,2200,933,25.3,46,0.9
M252,M879 Practice,81,3,33,2300,803,22.7,0,0
M252,M879 Practice,81,4,41,500,1512,35.9,9,0.1
M252,M879 Practice,81,4,41,600,1494,35.8,9,0
M252,M879 Practice,81,4,41,700,1476,35.7,9,0
M252,M879 Practice,81,4,41,800,1458,35.7,9,0.1
M252,M879 Practice,81,4,41,900,1439,35.6,9,0.1
M252,M879 Practice,81,4,41,1000,1420,35.4,9,0.1
M252,M879 Practice,81,4,41,1100,1402,35.2,10,0.1
M252,M879 Practice,81,4,41,1200,1382,35,10,0.1
M252,M879 Practice,81,4,41,1300,1362,35,10,0.1
M252,M879 Practice,81,4,41,1400,1342,34.9,11,0.1
M252,M879 Practice,81,4,41,1500,1321,34.7,11,0.1
M252,M879 Practice,81,4,41,1600,1300,34.5,12,0.2
M252,M879 Practice,81,4,41,1700,1277,34.2,12,0.2
M252,M879 Practice,81,4,41,1800,1255,34,12,0.2
M252,M879 Practice,81,4,41,1900,1231,33.7,13,0.2
M252,M879 Practice,81,4,41,2000,1206,33.4,13,0.2
M252,M879 Practice,81,4,41,2100,1180,33,13,0.2
M252,M879 Practice,81,4,41,2200,1153,32.7,15,0.3
M252,M879 Practice,81,4,41,2300,1123,32.2,15,0.2
M252,M879 Practice,81,4,41,2400,1092,31.7,17,0.3
M252,M879 Practice,81,4,41,2500,1058,31.1,19,0.3
M252,M879 Practice,81,4,41,2600,1018,30.4,20,0.4
M252,M879 Practice,81,4,41,2700,973,29.5,25,0.5
M252,M879 Practice,81,4,41,2800,915,28.4,40,0.9
M252,M879 Practice,81,4,41,2900,812,26.1,0,0
